   DEPT        CTEM       DCAL        DT      GR_EDTC      GTEM       ITT        RWA        SPHI       STIT       TENS
   1945.5000   147.7648    -6.1741   168.7144    50.4236    95.8033     0.8516  -174.2162     0.4175     0.0000  1103.0000
   1946.0000   147.7648    -6.1741   168.7144    51.4245    95.8105     0.8516  -174.2162     0.4175     0.0000  1114.0000
   1946.5000   147.7648    -6.1799   168.7144    48.8315    95.8176     0.8516  -174.2162     0.4175     0.0000  1112.0000
   1947.0000   147.7648    -6.1825   168.7144    52.4290    95.8248     0.8516  -174.2162     0.4175     0.0000  1100.0000
   1947.5000   147.7648    -6.1825   168.7144    59.2266    95.8319     0.8516  -174.2162     0.4175     0.0000  1112.0000
   1948.0000   147.7648    -6.2250   168.7144    60.7372    95.8391     0.8516  -174.2162     0.4175     0.0000  1117.0000
   1948.5000   147.7648    -6.2790   168.7144    55.5383    95.8462     0.8516  -174.2162     0.4175     0.0000  1098.0000
   1949.0000   147.7648    -6.2790   168.7144    54.4985    95.8533     0.8516  -174.2162     0.4175     0.0000  1118.0000
   1949.5000   147.7648    -6.2790    91.5982    51.4320    95.8605     0.8515   -58.9544     0.2429     0.0000  1114.0000
   1950.0000   147.7648    -6.2790    90.8656    54.5514    95.8676     0.8514   -57.4684     0.2398     0.0000  1104.0000
   1950.5000   147.7648    -6.2809    90.5451    53.9796    95.8748     0.8514   -56.8169     0.2385     0.0000  1113.0000
   1951.0000   147.7648    -6.2790   109.6573    54.0172    95.8819     0.8513   -93.4581     0.3058     0.0000  1112.0000
   1951.5000   147.7648    -6.2645   136.8887    60.7759    95.8891     0.8513  -136.2934     0.3693     0.0000  1111.0000
   1952.0000   147.7648    -6.2073   137.8922    61.8131    95.8962     0.8512  -137.6702     0.3712     0.0000  1101.0000
   1952.5000   147.7648    -5.7381    86.2806    67.4801    95.9034     0.8512   -48.0769     0.2193     0.0000  1099.0000
   1953.0000   147.7648    -4.7730    58.7942    65.4005    95.9105     0.8511    -0.8816     0.0297     0.0000  1117.0000
   1953.5000   147.7648    -4.1550    58.3643    64.4152    95.9177     0.8511    -0.6406     0.0253     0.0000  1112.0000
   1954.0000   147.7648    -3.0114   108.5404    66.4896    95.9248     0.8511   -91.4614     0.3025     0.0000  1111.0000
   1954.5000   147.7648    -1.8611   185.7135    62.3304    95.9319     0.8510  -190.4222     0.4365     0.0000  1115.0000
   1955.0000   147.7648    -1.2540   184.8099    58.1297    95.9391     0.8509  -189.6192     0.4356     0.0000  1115.0000
   1955.5000   147.7648    -0.0613   184.7166    52.4679    95.9462     0.8508  -189.5359     0.4355     0.0000  1115.0000
   1956.0000   147.7648     0.3082    54.9494    52.4212    95.9534     0.8507    -0.0031    -0.0120     0.0000  1114.0000
